Start Station Key,Station Name,Station Geometry,diff,bike-out more than bike-in
2,Dauphin Ave & 103rd St,POINT (-87.607662678 41.707250368),0.0,False
3,Cottage Grove Ave & 111th Pl,POINT (-87.610001564 41.691709758),1.0,True
4,Vernon Ave & 107th St,POINT (-87.61225998399999 41.700121379),-2.0,False
5,Halsted St & 96th St,POINT (-87.643019557 41.719712184),-3.0,False
6,Greenwood Ave & 97th St,POINT (-87.597035766 41.718703155),3.0,True
8,Halsted St & 104th St,POINT (-87.64242410700001 41.705139789),0.0,False
10,Indiana Ave & 103rd St,POINT (-87.61847198 41.707170271),-8.0,False
11,State St & 123rd St,POINT (-87.622586489 41.670643837),4.0,True
12,Wentworth Ave & 104th St,POINT (-87.62921690899999 41.705307997),-3.0,False
13,Michigan Ave & 114th St,POINT (-87.621052265 41.687014795),-1.0,False
14,Eberhart Ave & 131st St,POINT (-87.610710897 41.658413151),-5.0,False
15,Stewart Ave & 83rd St,POINT (-87.63408800000001 41.743717),2.0,True
16,Prospect Sq & 91st St,POINT (-87.66752390000001 41.7282338),-1.0,False
17,Ashland Ave & 78th St,POINT (-87.663699389 41.752204849),5.0,True
18,Halsted St & 78th St,POINT (-87.64390215700001 41.752487012),-9.0,False
19,Loomis Blvd & 84th St,POINT (-87.65841007200001 41.741486529),-4.0,False
20,Summit Ave & 86th St,POINT (-87.64489978600001 41.737848477),-5.0,False
21,Elizabeth St & 92nd St,POINT (-87.654290199 41.726798964),-2.0,False
22,Eggleston Ave & 92nd St,POINT (-87.634828091 41.727575659),-9.0,False
23,Vincennes Ave & 75th St,POINT (-87.63121 41.75797),0.0,False
24,Shedd Aquarium,POINT (-87.61535539 41.867225957),477.0,True
25,Michigan Ave & 14th St,POINT (-87.623727 41.864059),-1000.0,False
26,Indiana Ave & Roosevelt Rd,POINT (-87.623041 41.867888),-1856.0,False
27,Wabash Ave & 16th St,POINT (-87.62581299999999 41.860384),-615.0,False
28,Delano Ct & Roosevelt Rd,POINT (-87.63219000000001 41.86749099999999),24.0,True
29,Adler Planetarium,POINT (-87.60726700000001 41.866095),474.0,True
30,Wabash Ave & Roosevelt Rd,POINT (-87.625961 41.867227),-1327.0,False
31,Wabash Ave & 9th St,POINT (-87.62573399999999 41.870769),-828.0,False
32,Field Museum,POINT (-87.617867 41.865312),62.0,True
33,State St & Harrison St,POINT (-87.62771600000001 41.874053),-323.0,False
34,Michigan Ave & 8th St,POINT (-87.623981 41.872773),-382.0,False
35,Clark St & 9th St (AMLI),POINT (-87.63124599999999 41.870816),-492.0,False
36,Michigan Ave & Ida B Wells Dr,POINT (-87.624426 41.876243),320.0,True
37,Wells St & Polk St,POINT (-87.63350200000001 41.872596),-714.0,False
38,Dearborn St & Van Buren St,POINT (-87.62915500000001 41.876268),-5.0,False
39,Buckingham Fountain,POINT (-87.62054800999999 41.876511229),139.0,True
40,Federal St & Polk St,POINT (-87.62954377299999 41.872077633),-954.0,False
41,Clark St & Ida B Wells Dr,POINT (-87.630584536 41.875932666),195.0,True
42,Financial Pl & Ida B Wells Dr,POINT (-87.63309404299999 41.875023628),-174.0,False
43,Clark St & Elmdale Ave,POINT (-87.66983360100001 41.990517556),-114.0,False
44,Broadway & Ridge Ave,POINT (-87.66027382899999 41.984044611),-224.0,False
45,Clark St & Bryn Mawr Ave,POINT (-87.66915400000001 41.983593),-278.0,False
46,Broadway & Thorndale Ave,POINT (-87.66014062100001 41.989742511),-472.0,False
47,Lakefront Trail & Bryn Mawr Ave,POINT (-87.652310469 41.984036696),-184.0,False
48,Broadway & Granville Ave,POINT (-87.660284535 41.994779688),-365.0,False
49,Damen Ave & Walnut (Lake) St,POINT (-87.677009 41.885951),124.0,True
50,Kedzie Ave & Chicago Ave,POINT (-87.706127884 41.895465303),-47.0,False
51,Smith Park,POINT (-87.689397 41.892048),-140.0,False
52,Western Ave & Fillmore St,POINT (-87.686234 41.868563),-290.0,False
53,Damen Ave & Chicago Ave,POINT (-87.67721999999999 41.895769),-623.0,False
54,Damen Ave & Madison St,POINT (-87.67493 41.88137),-59.0,False
55,Ashland Ave & Lake St,POINT (-87.66717 41.88592),24.0,True
56,Wood St & Taylor St (Temp),POINT (-87.67373085 41.869265218),972.0,True
57,Leavitt St & Chicago Ave,POINT (-87.682017 41.895501),-543.0,False
58,Fairfield Ave & Roosevelt Rd,POINT (-87.69452099999999 41.866624),-22.0,False
59,Hermitage Ave & Polk St,POINT (-87.66988600000001 41.871514),574.0,True
60,Wolcott Ave & Polk St,POINT (-87.673688 41.871262),809.0,True
61,Paulina St & Flournoy St,POINT (-87.66913000000001 41.87295),1344.0,True
62,Ogden Ave & Congress Pkwy,POINT (-87.67328000000001 41.87501),337.0,True
63,Malcolm X College,POINT (-87.673895 41.877618),59.0,True
64,California Ave & Lake St,POINT (-87.69629813700001 41.884453957),-47.0,False
65,Sacramento Blvd & Franklin Blvd,POINT (-87.70260751200001 41.890468792),20.0,True
66,Western Ave & Monroe St,POINT (-87.68611280799999 41.879787709),-219.0,False
67,Artesian Ave & Hubbard St,POINT (-87.68821936499999 41.88949182),21.0,True
68,Western Ave & Congress Pkwy,POINT (-87.686445276 41.874748851),-256.0,False
69,Kedzie Ave & Harrison St,POINT (-87.70487074899999 41.873599675),-12.0,False
70,Ashland Ave & 74th St,POINT (-87.663474083 41.759236024),-10.0,False
71,Ashland Ave & 66th St,POINT (-87.663815 41.774074),-2.0,False
72,Damen Ave & 59th St,POINT (-87.67416700000001 41.78602),17.0,True
73,Ashland Ave & Garfield Blvd,POINT (-87.664429 41.79282199999999),-2.0,False
74,Marshfield Ave & 59th St,POINT (-87.66621500000001 41.786833),3.0,True
75,Ashland Ave & 63rd St,POINT (-87.664843 41.779374),-14.0,False
76,Elizabeth St & 59th St,POINT (-87.65585899999999 41.786691),2.0,True
77,Stewart Ave & 63rd St,POINT (-87.63477399999999 41.779835),4.0,True
78,Carpenter St & 63rd St,POINT (-87.65091899999999 41.77987),3.0,True
79,Eggleston Ave & 69th St,POINT (-87.635876 41.768898),-9.0,False
80,Halsted St & 73rd St,POINT (-87.64416097700001 41.761605438),2.0,True
81,May St & 69th St,POINT (-87.652934 41.768938),-5.0,False
82,Racine Ave & 65th St,POINT (-87.654308 41.775393),2.0,True
83,Halsted St & 59th St,POINT (-87.644874 41.787539),3.0,True
84,Racine Ave & 61st St,POINT (-87.654372 41.783189),-3.0,False
85,Halsted St & 56th St,POINT (-87.644990057 41.792929646),0.0,False
86,Halsted St & 63rd St,POINT (-87.644620815 41.779381142),14.0,True
87,Wentworth Ave & 63rd St,POINT (-87.629746305 41.780079633),0.0,False
88,Halsted St & 69th St,POINT (-87.64461357799999 41.76906172),8.0,True
