End Station Key,Station Name (Dim Station1),Station Geometry (Dim Station1),Morning,Afternoon,Evening,Night
2,Dauphin Ave & 103rd St,POINT (-87.607662678 41.707250368),,8,5,5
3,Cottage Grove Ave & 111th Pl,POINT (-87.610001564 41.691709758),3,13,11,3
4,Vernon Ave & 107th St,POINT (-87.61225998399999 41.700121379),2,9,20,
5,Halsted St & 96th St,POINT (-87.643019557 41.719712184),6,8,10,2
6,Greenwood Ave & 97th St,POINT (-87.597035766 41.718703155),4,10,40,7
8,Halsted St & 104th St,POINT (-87.64242410700001 41.705139789),,5,7,2
10,Indiana Ave & 103rd St,POINT (-87.61847198 41.707170271),10,8,33,10
11,State St & 123rd St,POINT (-87.622586489 41.670643837),2,1,3,2
12,Wentworth Ave & 104th St,POINT (-87.62921690899999 41.705307997),3,2,5,3
13,Michigan Ave & 114th St,POINT (-87.621052265 41.687014795),4,4,7,6
14,Eberhart Ave & 131st St,POINT (-87.610710897 41.658413151),1,5,9,
15,Stewart Ave & 83rd St,POINT (-87.63408800000001 41.743717),13,18,8,7
16,Prospect Sq & 91st St,POINT (-87.66752390000001 41.7282338),20,58,42,4
17,Ashland Ave & 78th St,POINT (-87.663699389 41.752204849),15,15,14,27
18,Halsted St & 78th St,POINT (-87.64390215700001 41.752487012),7,2,16,18
19,Loomis Blvd & 84th St,POINT (-87.65841007200001 41.741486529),16,25,34,10
20,Summit Ave & 86th St,POINT (-87.64489978600001 41.737848477),4,19,18,6
21,Elizabeth St & 92nd St,POINT (-87.654290199 41.726798964),12,40,40,18
22,Eggleston Ave & 92nd St,POINT (-87.634828091 41.727575659),10,13,24,4
23,Vincennes Ave & 75th St,POINT (-87.63121 41.75797),13,21,12,10
24,Shedd Aquarium,POINT (-87.61535539 41.867225957),1680,4546,2551,341
25,Michigan Ave & 14th St,POINT (-87.623727 41.864059),1393,2607,3353,675
26,Indiana Ave & Roosevelt Rd,POINT (-87.623041 41.867888),2570,6401,8290,1673
27,Wabash Ave & 16th St,POINT (-87.62581299999999 41.860384),988,2014,2295,371
28,Delano Ct & Roosevelt Rd,POINT (-87.63219000000001 41.86749099999999),596,1274,1413,206
29,Adler Planetarium,POINT (-87.60726700000001 41.866095),1653,3835,4116,361
30,Wabash Ave & Roosevelt Rd,POINT (-87.625961 41.867227),2792,5351,6818,1962
31,Wabash Ave & 9th St,POINT (-87.62573399999999 41.870769),1453,3336,4387,1910
32,Field Museum,POINT (-87.617867 41.865312),508,920,666,233
33,State St & Harrison St,POINT (-87.62771600000001 41.874053),738,1342,1853,1015
34,Michigan Ave & 8th St,POINT (-87.623981 41.872773),1180,2941,3863,2373
35,Clark St & 9th St (AMLI),POINT (-87.63124599999999 41.870816),482,1123,1552,312
36,Michigan Ave & Ida B Wells Dr,POINT (-87.624426 41.876243),550,931,999,1008
37,Wells St & Polk St,POINT (-87.63350200000001 41.872596),987,2082,2665,640
38,Dearborn St & Van Buren St,POINT (-87.62915500000001 41.876268),584,953,1084,407
39,Buckingham Fountain,POINT (-87.62054800999999 41.876511229),1089,3129,4066,1617
40,Federal St & Polk St,POINT (-87.62954377299999 41.872077633),1561,3604,4111,686
41,Clark St & Ida B Wells Dr,POINT (-87.630584536 41.875932666),832,795,704,222
42,Financial Pl & Ida B Wells Dr,POINT (-87.63309404299999 41.875023628),696,1001,1152,324
43,Clark St & Elmdale Ave,POINT (-87.66983360100001 41.990517556),398,773,757,256
44,Broadway & Ridge Ave,POINT (-87.66027382899999 41.984044611),708,1783,1704,481
45,Clark St & Bryn Mawr Ave,POINT (-87.66915400000001 41.983593),846,1644,1472,220
46,Broadway & Thorndale Ave,POINT (-87.66014062100001 41.989742511),607,1594,1828,315
47,Lakefront Trail & Bryn Mawr Ave,POINT (-87.652310469 41.984036696),2509,5467,5207,473
48,Broadway & Granville Ave,POINT (-87.660284535 41.994779688),901,2199,2317,424
49,Damen Ave & Walnut (Lake) St,POINT (-87.677009 41.885951),348,445,256,34
50,Kedzie Ave & Chicago Ave,POINT (-87.706127884 41.895465303),182,324,312,97
51,Smith Park,POINT (-87.689397 41.892048),215,477,434,55
52,Western Ave & Fillmore St,POINT (-87.686234 41.868563),239,531,977,356
53,Damen Ave & Chicago Ave,POINT (-87.67721999999999 41.895769),1133,2463,2690,380
