Start Station Key,Station Name,Station Geometry,Morning,Afternoon,Evening,Night
2,Dauphin Ave & 103rd St,POINT (-87.607662678 41.707250368),5,7,5,1
3,Cottage Grove Ave & 111th Pl,POINT (-87.610001564 41.691709758),3,12,12,3
4,Vernon Ave & 107th St,POINT (-87.61225998399999 41.700121379),2,7,18,4
5,Halsted St & 96th St,POINT (-87.643019557 41.719712184),9,14,7,2
6,Greenwood Ave & 97th St,POINT (-87.597035766 41.718703155),11,5,43,4
8,Halsted St & 104th St,POINT (-87.64242410700001 41.705139789),,6,7,2
10,Indiana Ave & 103rd St,POINT (-87.61847198 41.707170271),9,18,25,14
11,State St & 123rd St,POINT (-87.622586489 41.670643837),3,2,7,
12,Wentworth Ave & 104th St,POINT (-87.62921690899999 41.705307997),1,1,2,2
13,Michigan Ave & 114th St,POINT (-87.621052265 41.687014795),3,2,6,4
14,Eberhart Ave & 131st St,POINT (-87.610710897 41.658413151),,6,4,1
15,Stewart Ave & 83rd St,POINT (-87.63408800000001 41.743717),11,21,10,2
16,Prospect Sq & 91st St,POINT (-87.66752390000001 41.7282338),24,61,41,1
17,Ashland Ave & 78th St,POINT (-87.663699389 41.752204849),20,30,19,24
18,Halsted St & 78th St,POINT (-87.64390215700001 41.752487012),8,13,7,13
19,Loomis Blvd & 84th St,POINT (-87.65841007200001 41.741486529),23,29,30,2
20,Summit Ave & 86th St,POINT (-87.64489978600001 41.737848477),5,16,13,5
21,Elizabeth St & 92nd St,POINT (-87.654290199 41.726798964),13,46,38,7
22,Eggleston Ave & 92nd St,POINT (-87.634828091 41.727575659),13,26,15,
23,Vincennes Ave & 75th St,POINT (-87.63121 41.75797),20,25,12,3
24,Shedd Aquarium,POINT (-87.61535539 41.867225957),1428,5982,3028,430
25,Michigan Ave & 14th St,POINT (-87.623727 41.864059),2658,2633,2353,566
26,Indiana Ave & Roosevelt Rd,POINT (-87.623041 41.867888),4852,6498,6434,1232
27,Wabash Ave & 16th St,POINT (-87.62581299999999 41.860384),1801,2050,1680,261
28,Delano Ct & Roosevelt Rd,POINT (-87.63219000000001 41.86749099999999),739,1353,1437,228
29,Adler Planetarium,POINT (-87.60726700000001 41.866095),1637,3683,4590,505
30,Wabash Ave & Roosevelt Rd,POINT (-87.625961 41.867227),3715,4865,5491,1397
