Start Station Key,Station Name,Station Geometry,Total_x,Total_y,diff,bike-out more than bike-in,station_dock_in_service,Ridership_per_Dock,longitude,latitude
2,Dauphin Ave & 103rd St,POINT (-87.607662678 41.707250368),18.0,,,False,15,0.00612245,-87.607662678,41.707250368000004
3,Cottage Grove Ave & 111th Pl,POINT (-87.610001564 41.691709758),30.0,30.0,0.0,False,15,0.01020408,-87.610001564,41.691709758
4,Vernon Ave & 107th St,POINT (-87.61225998399999 41.700121379),31.0,,,False,14,0.01129738,-87.61225998399998,41.700121379
5,Halsted St & 96th St,POINT (-87.643019557 41.719712184),32.0,26.0,6.0,True,15,0.01088435,-87.643019557,41.719712184
6,Greenwood Ave & 97th St,POINT (-87.597035766 41.718703155),63.0,61.0,2.0,True,15,0.02142857,-87.597035766,41.718703155
8,Halsted St & 104th St,POINT (-87.64242410700001 41.705139789),,,,False,15,0.00510204,-87.64242410700001,41.705139789
10,Indiana Ave & 103rd St,POINT (-87.61847198 41.707170271),66.0,61.0,5.0,True,15,0.02244898,-87.61847198,41.707170271
11,State St & 123rd St,POINT (-87.622586489 41.670643837),,8.0,,False,15,0.00408163,-87.622586489,41.670643837
12,Wentworth Ave & 104th St,POINT (-87.62921690899999 41.705307997),6.0,13.0,-7.0,False,15,0.00204082,-87.62921690899998,41.705307997
13,Michigan Ave & 114th St,POINT (-87.621052265 41.687014795),15.0,21.0,-6.0,False,15,0.00510204,-87.621052265,41.687014795
14,Eberhart Ave & 131st St,POINT (-87.610710897 41.658413151),,,,False,15,0.0037415,-87.610710897,41.658413151
15,Stewart Ave & 83rd St,POINT (-87.63408800000001 41.743717),44.0,46.0,-2.0,False,15,0.01632653,-87.63408800000002,41.743717
16,Prospect Sq & 91st St,POINT (-87.66752390000001 41.7282338),127.0,124.0,3.0,True,15,0.04319728,-87.66752390000002,41.7282338
17,Ashland Ave & 78th St,POINT (-87.663699389 41.752204849),93.0,71.0,22.0,True,15,0.03163265,-87.663699389,41.752204849
18,Halsted St & 78th St,POINT (-87.64390215700001 41.752487012),41.0,43.0,-2.0,False,15,0.01394558,-87.64390215700001,41.752487011999996
19,Loomis Blvd & 84th St,POINT (-87.65841007200001 41.741486529),84.0,85.0,-1.0,False,15,0.02857143,-87.65841007200001,41.741486529
20,Summit Ave & 86th St,POINT (-87.64489978600001 41.737848477),39.0,47.0,-8.0,False,15,0.01360544,-87.64489978600002,41.737848477
21,Elizabeth St & 92nd St,POINT (-87.654290199 41.726798964),104.0,110.0,-6.0,False,15,0.03537415,-87.654290199,41.726798964000004
22,Eggleston Ave & 92nd St,POINT (-87.634828091 41.727575659),,51.0,,False,15,0.01836735,-87.634828091,41.727575659
23,Vincennes Ave & 75th St,POINT (-87.63121 41.75797),60.0,56.0,4.0,True,7,0.04446064,-87.63121,41.75797
24,Shedd Aquarium,POINT (-87.61535539 41.867225957),10868.0,9118.0,1750.0,True,55,1.00853432,-87.61535539,41.867225956999995
25,Michigan Ave & 14th St,POINT (-87.623727 41.864059),8210.0,8028.0,182.0,True,19,2.20542427,-87.623727,41.864059000000005
26,Indiana Ave & Roosevelt Rd,POINT (-87.623041 41.867888),19016.0,18934.0,82.0,True,39,2.4884877,-87.623041,41.867888
27,Wabash Ave & 16th St,POINT (-87.62581299999999 41.860384),5792.0,5668.0,124.0,True,39,0.75784929,-87.62581299999998,41.860384
28,Delano Ct & Roosevelt Rd,POINT (-87.63219000000001 41.86749099999999),3757.0,3489.0,268.0,True,19,1.00886144,-87.63219000000002,41.86749099999999
