Start Station Key,Station Name,Station Geometry,Total_x,Total_y,diff,bike-out more than bike-in
2,Dauphin Ave & 103rd St,POINT (-87.607662678 41.707250368),18.0,,,False
3,Cottage Grove Ave & 111th Pl,POINT (-87.610001564 41.691709758),30.0,30.0,0.0,False
4,Vernon Ave & 107th St,POINT (-87.61225998399999 41.700121379),31.0,,,False
5,Halsted St & 96th St,POINT (-87.643019557 41.719712184),32.0,26.0,6.0,True
6,Greenwood Ave & 97th St,POINT (-87.597035766 41.718703155),63.0,61.0,2.0,True
8,Halsted St & 104th St,POINT (-87.64242410700001 41.705139789),,,,False
10,Indiana Ave & 103rd St,POINT (-87.61847198 41.707170271),66.0,61.0,5.0,True
11,State St & 123rd St,POINT (-87.622586489 41.670643837),,8.0,,False
12,Wentworth Ave & 104th St,POINT (-87.62921690899999 41.705307997),6.0,13.0,-7.0,False
13,Michigan Ave & 114th St,POINT (-87.621052265 41.687014795),15.0,21.0,-6.0,False
14,Eberhart Ave & 131st St,POINT (-87.610710897 41.658413151),,,,False
15,Stewart Ave & 83rd St,POINT (-87.63408800000001 41.743717),44.0,46.0,-2.0,False
16,Prospect Sq & 91st St,POINT (-87.66752390000001 41.7282338),127.0,124.0,3.0,True
17,Ashland Ave & 78th St,POINT (-87.663699389 41.752204849),93.0,71.0,22.0,True
18,Halsted St & 78th St,POINT (-87.64390215700001 41.752487012),41.0,43.0,-2.0,False
19,Loomis Blvd & 84th St,POINT (-87.65841007200001 41.741486529),84.0,85.0,-1.0,False
20,Summit Ave & 86th St,POINT (-87.64489978600001 41.737848477),39.0,47.0,-8.0,False
21,Elizabeth St & 92nd St,POINT (-87.654290199 41.726798964),104.0,110.0,-6.0,False
22,Eggleston Ave & 92nd St,POINT (-87.634828091 41.727575659),,51.0,,False
23,Vincennes Ave & 75th St,POINT (-87.63121 41.75797),60.0,56.0,4.0,True
24,Shedd Aquarium,POINT (-87.61535539 41.867225957),10868.0,9118.0,1750.0,True
25,Michigan Ave & 14th St,POINT (-87.623727 41.864059),8210.0,8028.0,182.0,True
26,Indiana Ave & Roosevelt Rd,POINT (-87.623041 41.867888),19016.0,18934.0,82.0,True
27,Wabash Ave & 16th St,POINT (-87.62581299999999 41.860384),5792.0,5668.0,124.0,True
28,Delano Ct & Roosevelt Rd,POINT (-87.63219000000001 41.86749099999999),3757.0,3489.0,268.0,True
29,Adler Planetarium,POINT (-87.60726700000001 41.866095),10415.0,9965.0,450.0,True
30,Wabash Ave & Roosevelt Rd,POINT (-87.625961 41.867227),15468.0,16923.0,-1455.0,False
31,Wabash Ave & 9th St,POINT (-87.62573399999999 41.870769),11009.0,11086.0,-77.0,False
32,Field Museum,POINT (-87.617867 41.865312),2467.0,2327.0,140.0,True
33,State St & Harrison St,POINT (-87.62771600000001 41.874053),4798.0,4948.0,-150.0,False
34,Michigan Ave & 8th St,POINT (-87.623981 41.872773),10715.0,10357.0,358.0,True
35,Clark St & 9th St (AMLI),POINT (-87.63124599999999 41.870816),3666.0,3469.0,197.0,True
36,Michigan Ave & Ida B Wells Dr,POINT (-87.624426 41.876243),3794.0,3488.0,306.0,True
37,Wells St & Polk St,POINT (-87.63350200000001 41.872596),6599.0,6374.0,225.0,True
38,Dearborn St & Van Buren St,POINT (-87.62915500000001 41.876268),3177.0,3028.0,149.0,True
39,Buckingham Fountain,POINT (-87.62054800999999 41.876511229),10482.0,9901.0,581.0,True
40,Federal St & Polk St,POINT (-87.62954377299999 41.872077633),9889.0,9962.0,-73.0,False
41,Clark St & Ida B Wells Dr,POINT (-87.630584536 41.875932666),2645.0,2553.0,92.0,True
42,Financial Pl & Ida B Wells Dr,POINT (-87.63309404299999 41.875023628),3418.0,3173.0,245.0,True
43,Clark St & Elmdale Ave,POINT (-87.66983360100001 41.990517556),2069.0,2184.0,-115.0,False
44,Broadway & Ridge Ave,POINT (-87.66027382899999 41.984044611),4720.0,4676.0,44.0,True
45,Clark St & Bryn Mawr Ave,POINT (-87.66915400000001 41.983593),4001.0,4182.0,-181.0,False
46,Broadway & Thorndale Ave,POINT (-87.66014062100001 41.989742511),4068.0,4344.0,-276.0,False
47,Lakefront Trail & Bryn Mawr Ave,POINT (-87.652310469 41.984036696),13411.0,13656.0,-245.0,False
48,Broadway & Granville Ave,POINT (-87.660284535 41.994779688),5758.0,5841.0,-83.0,False
49,Damen Ave & Walnut (Lake) St,POINT (-87.677009 41.885951),863.0,1083.0,-220.0,False
50,Kedzie Ave & Chicago Ave,POINT (-87.706127884 41.895465303),787.0,915.0,-128.0,False
51,Smith Park,POINT (-87.689397 41.892048),877.0,1181.0,-304.0,False
52,Western Ave & Fillmore St,POINT (-87.686234 41.868563),1972.0,2103.0,-131.0,False
53,Damen Ave & Chicago Ave,POINT (-87.67721999999999 41.895769),6161.0,6666.0,-505.0,False
54,Damen Ave & Madison St,POINT (-87.67493 41.88137),1216.0,1223.0,-7.0,False
55,Ashland Ave & Lake St,POINT (-87.66717 41.88592),2008.0,2055.0,-47.0,False
56,Wood St & Taylor St (Temp),POINT (-87.67373085 41.869265218),3689.0,3252.0,437.0,True
57,Leavitt St & Chicago Ave,POINT (-87.682017 41.895501),2902.0,2900.0,2.0,True
58,Fairfield Ave & Roosevelt Rd,POINT (-87.69452099999999 41.866624),344.0,391.0,-47.0,False
59,Hermitage Ave & Polk St,POINT (-87.66988600000001 41.871514),2831.0,2784.0,47.0,True
60,Wolcott Ave & Polk St,POINT (-87.673688 41.871262),5194.0,4783.0,411.0,True
61,Paulina St & Flournoy St,POINT (-87.66913000000001 41.87295),4596.0,3889.0,707.0,True
62,Ogden Ave & Congress Pkwy,POINT (-87.67328000000001 41.87501),1099.0,997.0,102.0,True
63,Malcolm X College,POINT (-87.673895 41.877618),622.0,586.0,36.0,True
64,California Ave & Lake St,POINT (-87.69629813700001 41.884453957),484.0,504.0,-20.0,False
65,Sacramento Blvd & Franklin Blvd,POINT (-87.70260751200001 41.890468792),335.0,357.0,-22.0,False
66,Western Ave & Monroe St,POINT (-87.68611280799999 41.879787709),1500.0,1648.0,-148.0,False
67,Artesian Ave & Hubbard St,POINT (-87.68821936499999 41.88949182),1519.0,1382.0,137.0,True
68,Western Ave & Congress Pkwy,POINT (-87.686445276 41.874748851),1899.0,1955.0,-56.0,False
69,Kedzie Ave & Harrison St,POINT (-87.70487074899999 41.873599675),163.0,188.0,-25.0,False
70,Ashland Ave & 74th St,POINT (-87.663474083 41.759236024),23.0,23.0,0.0,False
71,Ashland Ave & 66th St,POINT (-87.663815 41.774074),48.0,42.0,6.0,True
72,Damen Ave & 59th St,POINT (-87.67416700000001 41.78602),118.0,128.0,-10.0,False
73,Ashland Ave & Garfield Blvd,POINT (-87.664429 41.79282199999999),116.0,109.0,7.0,True
74,Marshfield Ave & 59th St,POINT (-87.66621500000001 41.786833),33.0,21.0,12.0,True
75,Ashland Ave & 63rd St,POINT (-87.664843 41.779374),76.0,82.0,-6.0,False
76,Elizabeth St & 59th St,POINT (-87.65585899999999 41.786691),,28.0,,False
77,Stewart Ave & 63rd St,POINT (-87.63477399999999 41.779835),62.0,65.0,-3.0,False
78,Carpenter St & 63rd St,POINT (-87.65091899999999 41.77987),,18.0,,False
79,Eggleston Ave & 69th St,POINT (-87.635876 41.768898),88.0,95.0,-7.0,False
80,Halsted St & 73rd St,POINT (-87.64416097700001 41.761605438),31.0,35.0,-4.0,False
81,May St & 69th St,POINT (-87.652934 41.768938),44.0,48.0,-4.0,False
82,Racine Ave & 65th St,POINT (-87.654308 41.775393),58.0,60.0,-2.0,False
83,Halsted St & 59th St,POINT (-87.644874 41.787539),72.0,61.0,11.0,True
