station_key,station_name,station_dock_in_service,station_geometry,Ridership_per_Dock,longitude,latitude
2,Dauphin Ave & 103rd St,15,POINT (-87.607662678 41.707250368),0.00612245,-87.607662678,41.707250368
3,Cottage Grove Ave & 111th Pl,15,POINT (-87.610001564 41.691709758),0.01020408,-87.610001564,41.691709758
4,Vernon Ave & 107th St,14,POINT (-87.61225998399999 41.700121379),0.01129738,-87.61225998399999,41.700121379
5,Halsted St & 96th St,15,POINT (-87.643019557 41.719712184),0.01088435,-87.643019557,41.719712184
6,Greenwood Ave & 97th St,15,POINT (-87.597035766 41.718703155),0.02142857,-87.597035766,41.718703155
8,Halsted St & 104th St,15,POINT (-87.64242410700001 41.705139789),0.00510204,-87.64242410700001,41.705139789
10,Indiana Ave & 103rd St,15,POINT (-87.61847198 41.707170271),0.02244898,-87.61847198,41.707170271
11,State St & 123rd St,15,POINT (-87.622586489 41.670643837),0.00408163,-87.622586489,41.670643837
12,Wentworth Ave & 104th St,15,POINT (-87.62921690899999 41.705307997),0.00204082,-87.62921690899999,41.705307997
13,Michigan Ave & 114th St,15,POINT (-87.621052265 41.687014795),0.00510204,-87.621052265,41.687014795
14,Eberhart Ave & 131st St,15,POINT (-87.610710897 41.658413151),0.0037415,-87.610710897,41.658413151
15,Stewart Ave & 83rd St,15,POINT (-87.63408800000001 41.743717),0.01632653,-87.63408800000001,41.743717
16,Prospect Sq & 91st St,15,POINT (-87.66752390000001 41.7282338),0.04319728,-87.66752390000001,41.7282338
17,Ashland Ave & 78th St,15,POINT (-87.663699389 41.752204849),0.03163265,-87.663699389,41.752204849
18,Halsted St & 78th St,15,POINT (-87.64390215700001 41.752487012),0.01394558,-87.64390215700001,41.752487012
19,Loomis Blvd & 84th St,15,POINT (-87.65841007200001 41.741486529),0.02857143,-87.65841007200001,41.741486529
20,Summit Ave & 86th St,15,POINT (-87.64489978600001 41.737848477),0.01360544,-87.64489978600001,41.737848477
21,Elizabeth St & 92nd St,15,POINT (-87.654290199 41.726798964),0.03537415,-87.654290199,41.726798964
22,Eggleston Ave & 92nd St,15,POINT (-87.634828091 41.727575659),0.01836735,-87.634828091,41.727575659
23,Vincennes Ave & 75th St,7,POINT (-87.63121 41.75797),0.04446064,-87.63121,41.75797
24,Shedd Aquarium,55,POINT (-87.61535539 41.867225957),1.00853432,-87.61535539,41.867225957
25,Michigan Ave & 14th St,19,POINT (-87.623727 41.864059),2.20542427,-87.623727,41.864059
26,Indiana Ave & Roosevelt Rd,39,POINT (-87.623041 41.867888),2.4884877,-87.623041,41.867888
27,Wabash Ave & 16th St,39,POINT (-87.62581299999999 41.860384),0.75784929,-87.62581299999999,41.860384
28,Delano Ct & Roosevelt Rd,19,POINT (-87.63219000000001 41.86749099999999),1.00886144,-87.63219000000001,41.86749099999999
29,Adler Planetarium,39,POINT (-87.60726700000001 41.866095),1.36276818,-87.60726700000001,41.866095
30,Wabash Ave & Roosevelt Rd,23,POINT (-87.625961 41.867227),3.43212067,-87.625961,41.867227
31,Wabash Ave & 9th St,19,POINT (-87.62573399999999 41.870769),2.95676692,-87.62573399999999,41.870769
32,Field Museum,55,POINT (-87.617867 41.865312),0.22884972,-87.617867,41.865312
33,State St & Harrison St,23,POINT (-87.62771600000001 41.874053),1.06477374,-87.62771600000001,41.874053
34,Michigan Ave & 8th St,43,POINT (-87.623981 41.872773),1.27159468,-87.623981,41.872773
35,Clark St & 9th St (AMLI),15,POINT (-87.63124599999999 41.870816),1.24761905,-87.63124599999999,41.870816
36,Michigan Ave & Ida B Wells Dr,15,POINT (-87.624426 41.876243),1.2914966,-87.624426,41.876243
37,Wells St & Polk St,19,POINT (-87.63350200000001 41.872596),1.77201933,-87.63350200000001,41.872596
38,Dearborn St & Van Buren St,15,POINT (-87.62915500000001 41.876268),1.08095238,-87.62915500000001,41.876268
39,Buckingham Fountain,39,POINT (-87.62054800999999 41.876511229),1.37166405,-87.62054800999999,41.876511229
40,Federal St & Polk St,19,POINT (-87.62954377299999 41.872077633),2.65682062,-87.62954377299999,41.872077633
41,Clark St & Ida B Wells Dr,35,POINT (-87.630584536 41.875932666),0.38556851,-87.630584536,41.875932666
42,Financial Pl & Ida B Wells Dr,31,POINT (-87.63309404299999 41.875023628),0.56270573,-87.63309404299999,41.875023628
43,Clark St & Elmdale Ave,15,POINT (-87.66983360100001 41.990517556),0.74217687,-87.66983360100001,41.990517556
44,Broadway & Ridge Ave,15,POINT (-87.66027382899999 41.984044611),1.62619048,-87.66027382899999,41.984044611
45,Clark St & Bryn Mawr Ave,15,POINT (-87.66915400000001 41.983593),1.37789116,-87.66915400000001,41.983593
