REGION_ID,REGION_NAME,geometry,Region Name,Avg_Speed
1,Rogers Park - West Ridge,"POLYGON((-87.709645 41.997946, -87.709645 42.026444, -87.654561 42.026444, -87.654561 41.997946, -87.709645 41.997946))",Rogers Park - West Ridge,22.27
3,North Park-Albany-Linconl Sq,"POLYGON((-87.747456 41.960669, -87.747456 41.997946, -87.67459000000001 41.997946, -87.67459000000001 41.960669, -87.747456 41.960669))",North Park-Albany-Linconl Sq,23.6
4,Edge Water-Uptown,"POLYGON((-87.67459000000001 41.960669, -87.67459000000001 41.997946, -87.646438 41.997946, -87.646438 41.960669, -87.67459000000001 41.960669))",Edge Water-Uptown,21.02
5,Dunning-Portage-Belmont Cragn,"POLYGON((-87.84621 41.909269, -87.84621 41.960669, -87.747456 41.960669, -87.747456 41.909269, -87.84621 41.909269))",Dunning-Portage-Belmont Cragn,24.36
6,Irving Park-Avondale-North Ctr,"POLYGON((-87.747456 41.931841, -87.747456 41.960669, -87.67459000000001 41.960669, -87.67459000000001 41.931841, -87.747456 41.931841))",Irving Park-Avondale-North Ctr,23.01
7,Hermosa-Logan Square,"POLYGON((-87.747456 41.909269, -87.747456 41.931841, -87.67459000000001 41.931841, -87.67459000000001 41.909269, -87.747456 41.909269))",Hermosa-Logan Square,22.29
8,Lincoln Park-Lake View,"POLYGON((-87.67459000000001 41.910561, -87.67459000000001 41.960669, -87.619112 41.960669, -87.619112 41.910561, -87.67459000000001 41.910561))",Lincoln Park-Lake View,21.54
9,Austin,"POLYGON((-87.775947 41.866129, -87.775947 41.909269, -87.747456 41.909269, -87.747456 41.866129, -87.775947 41.866129))",Austin,24.2
10,Humboldt-Garfield Prk E/W,"POLYGON((-87.747456 41.866129, -87.747456 41.909269, -87.69161700000001 41.909269, -87.69161700000001 41.866129, -87.747456 41.866129))",Humboldt-Garfield Prk E/W,23.39
11,West Town-Near West,"POLYGON((-87.69161700000001 41.866129, -87.69161700000001 41.910561, -87.64720799999999 41.910561, -87.64720799999999 41.866129, -87.69161700000001 41.866129))",West Town-Near West,23.5
12,Near North,"POLYGON((-87.64720799999999 41.88886, -87.64720799999999 41.911401, -87.62308 41.911401, -87.62308 41.88886, -87.64720799999999 41.88886))",Near North,20.37
13,Chicago Loop,"POLYGON((-87.64720799999999 41.866129, -87.64720799999999 41.88886, -87.62308 41.88886, -87.62308 41.866129, -87.64720799999999 41.866129))",Chicago Loop,20.05
14,Lawndale N/S,"POLYGON((-87.747456 41.822792, -87.747456 41.866129, -87.685372 41.866129, -87.685372 41.822792, -87.747456 41.822792))",Lawndale N/S,24.47
15,Bridgeport-McKinley-Lower West,"POLYGON((-87.685372 41.822792, -87.685372 41.866129, -87.63632199999999 41.866129, -87.63632199999999 41.822792, -87.685372 41.822792))",Bridgeport-McKinley-Lower West,25.94
16,Near South-Douglas,"POLYGON((-87.63632199999999 41.822792, -87.63632199999999 41.866129, -87.597952 41.866129, -87.597952 41.822792, -87.63632199999999 41.822792))",Near South-Douglas,25.69
19,New City-Englewood-W Englewood,"POLYGON((-87.68373000000001 41.764066, -87.68373000000001 41.822792, -87.63632199999999 41.822792, -87.63632199999999 41.764066, -87.68373000000001 41.764066))",New City-Englewood-W Englewood,25.69
20,Fuller-Grand Blvd-Washington Park,"POLYGON((-87.63632199999999 41.764066, -87.63632199999999 41.822792, -87.60633399999999 41.822792, -87.60633399999999 41.764066, -87.63632199999999 41.764066))",Fuller-Grand Blvd-Washington Park,26.14
21,Hyde Park-Kenwood-Woodlawn,"POLYGON((-87.60633399999999 41.764066, -87.60633399999999 41.822792, -87.56626 41.822792, -87.56626 41.764066, -87.60633399999999 41.764066))",Hyde Park-Kenwood-Woodlawn,24.87
23,Auburn Gresham-Chatham,"POLYGON((-87.67298000000001 41.728472, -87.67298000000001 41.764066, -87.60633399999999 41.764066, -87.60633399999999 41.728472, -87.67298000000001 41.728472))",Auburn Gresham-Chatham,24.18
24,South Shore-S Chicago-Avlon,"POLYGON((-87.60633399999999 41.728472, -87.60633399999999 41.764066, -87.526388 41.764066, -87.526388 41.728472, -87.60633399999999 41.728472))",South Shore-S Chicago-Avlon,25.84
25,Beverly-Mt Greenwood-Morgan Park,"POLYGON((-87.747456 41.677477, -87.747456 41.728472, -87.662508 41.728472, -87.662508 41.677477, -87.747456 41.677477))",Beverly-Mt Greenwood-Morgan Park,29.84
26,Washington Hts-Roseland-Pullman,"POLYGON((-87.662508 41.677477, -87.662508 41.728472, -87.584845 41.728472, -87.584845 41.677477, -87.662508 41.677477))",Washington Hts-Roseland-Pullman,29.12
27,South Deering-East Side,"POLYGON((-87.584845 41.677477, -87.584845 41.728472, -87.524436 41.728472, -87.524436 41.677477, -87.584845 41.677477))",South Deering-East Side,30.26
28,Riverdale-Hegewisch,"POLYGON((-87.662508 41.644139, -87.662508 41.677477, -87.524436 41.677477, -87.524436 41.644139, -87.662508 41.644139))",Riverdale-Hegewisch,25.19
29,Downtown Lakefront,"POLYGON((-87.62308 41.866129, -87.62308 41.911401, -87.595378 41.911401, -87.595378 41.866129, -87.62308 41.866129))",Downtown Lakefront,20.43
