region_key,region_name,daily_usage
1,"Rogers Park - West Ridge",142.4439
3,"North Park-Albany-Linconl Sq",230.8112
4,"Edge Water-Uptown",690.2449
5,"Dunning-Portage-Belmont Cragn",3.3367
6,"Irving Park-Avondale-North Ctr",208.6173
7,"Hermosa-Logan Square",426.3010
8,"Lincoln Park-Lake View",3520.7755
9,Austin,11.5714
10,"Humboldt-Garfield Prk E/W",62.3061
11,"West Town-Near West",1477.2500
12,"Near North",1761.0561
13,"Chicago Loop",1724.1939
14,"Lawndale N/S",23.9184
15,"Bridgeport-McKinley-Lower West",228.2143
16,"Near South-Douglas",533.0561
19,"New City-Englewood-W Englewood",16.9337
20,"Fuller-Grand Blvd-Washington Park",48.2296
21,"Hyde Park-Kenwood-Woodlawn",337.8980
23,"Auburn Gresham-Chatham",7.3827
24,"South Shore-S Chicago-Avlon",28.8673
25,"Beverly-Mt Greenwood-Morgan Park",0.8265
26,"Washington Hts-Roseland-Pullman",2.9184
27,"South Deering-East Side",1.0204
28,Riverdale-Hegewisch,0.3827
29,"Downtown Lakefront",1184.7806
